batter_name,age,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,GB,SO,GDP,BU,fly,year
최정용,20.0,48.0,61.0,54.0,10.0,16.0,1.0,1.0,0.0,19.0,2.0,0.0,0.0,3.0,0.0,0.0,16.0,0.0,4.0,0.0,2016
최정용,21.0,5.0,8.0,6.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2017
최정용,23.0,8.0,21.0,21.0,4.0,6.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2019
오선우,23.0,27.0,57.0,53.0,5.0,8.0,1.0,1.0,1.0,14.0,4.0,0.0,0.0,3.0,1.0,0.0,24.0,0.0,0.0,0.0,2019
류승현,21.0,35.0,85.0,75.0,9.0,23.0,3.0,1.0,1.0,31.0,13.0,0.0,0.0,7.0,1.0,0.0,12.0,2.0,1.0,1.0,2018
류승현,22.0,57.0,163.0,150.0,14.0,38.0,8.0,1.0,0.0,48.0,14.0,3.0,2.0,9.0,4.0,0.0,29.0,3.0,0.0,0.0,2019
고영우,23.0,29.0,11.0,11.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2013
고영우,24.0,21.0,27.0,24.0,4.0,2.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,1.0,2014
고영우,25.0,82.0,57.0,52.0,17.0,8.0,2.0,0.0,1.0,13.0,4.0,7.0,3.0,4.0,0.0,0.0,15.0,0.0,1.0,0.0,2015
고영우,26.0,63.0,81.0,70.0,18.0,15.0,3.0,0.0,0.0,18.0,4.0,3.0,2.0,7.0,3.0,0.0,15.0,1.0,1.0,0.0,2016
고영우,27.0,66.0,40.0,38.0,13.0,9.0,3.0,0.0,0.0,12.0,3.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,1.0,1.0,2017
고영우,29.0,22.0,32.0,31.0,2.0,7.0,0.0,1.0,0.0,9.0,3.0,0.0,1.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,2019
윤해진,23.0,68.0,101.0,90.0,17.0,24.0,2.0,0.0,0.0,26.0,6.0,5.0,3.0,6.0,2.0,0.0,22.0,2.0,3.0,0.0,2012
윤해진,24.0,47.0,59.0,54.0,11.0,8.0,1.0,0.0,0.0,9.0,4.0,3.0,2.0,2.0,1.0,0.0,15.0,1.0,2.0,0.0,2013
